Movie_Tag,Title,Source,Publish_Date,Director,Key_Cast,Genre,Studio,Link,Description_Snippet
Avatar_Fire_and_Ash,All hail Avatar! How event movies are trying to bring back the box office blockbuster | James Cameron - The Guardian,The Guardian,12/9/25 16:17,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPMnFMTkYxUTNVUVZiZU5fRTlPWUZFQWFzLWRsazg3NFltN0hNQzB1akMzdUFxWnpFMFVzS1cxNmY5NG9WeERKUlFwUHVMM0hNdDJFVHdjWXhGYnlLRWVuSl9oaUt5NlV3ZTRxU2JnSzUySVVMSkJDZEo5XzZaMWJwa2I5cXFBeTJqc0h5M1VvUzEzWUY2LVEwS2hfekhHLTRNYTVpaFQ0eENGYzM3NHE0WVZhdl9Ub014aG1UV0xVRDNERV9vYzZqZg?oc=5,All hail Avatar! How event movies are trying to bring back the box office blockbuster | James Cameron&nbsp;&nbsp;The Guardian
Avatar_Fire_and_Ash,"THE WEEKEND WARRIOR December 12, 2025 (Video Edition) - Substack",Substack,12/9/25 14:31,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMifkFVX3lxTFBHUjVIb3VaeG1rNkdYZ2dCaXRkN3c1N1JHQXZvNUlMblB2dFphcU5TQ0VramRsM1hTNWtUQXNQX0lzYVl1NW1qLXVpU0NDRkhoNjgtOWJXa1JsVEpGSmFERlJmMXB0ZmVVczRpTXpqZlRCdVp2RGJ4UjMyVmN5Zw?oc=5,"THE WEEKEND WARRIOR December 12, 2025 (Video Edition)&nbsp;&nbsp;Substack"
Avatar_Fire_and_Ash,Avatar: Fire And Ash Is Among The Most Expensive Movies Ever Made - SlashFilm,SlashFilm,12/9/25 18:20,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMikgFBVV95cUxOWkIyYzZubGhibjRod2kxRkl5Q3owWmtiazdBT2N3a3cwN3hya1k3RmExZ182WTZvLTcwQ2YxVVBfN2Z6aENlSklxNGdKalFUbTR5Y2MtemUyajk0NlU0WDRnYUlVVGVyUTduMVlpLVhLWGNWcGxuN1VRaXc4WjdYSVBLZTJWSnVOZmNXSUcxVWd3QQ?oc=5,Avatar: Fire And Ash Is Among The Most Expensive Movies Ever Made&nbsp;&nbsp;SlashFilm
Avatar_Fire_and_Ash,"6-Week Box Office Tracking & Forecasts: AVATAR: FIRE AND ASH ($95M+) Updates, Early Forecasts for 28 YEARS LATER: THE BONE TEMPLE, GREENLAND 2, PRIMATE, and SOULM8TE – Box Office Theory - Box Office Theory",Box Office Theory,12/5/25 17:25,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMijgJBVV95cUxNbTlyS1RCZmpnei1XRExzSzJrRVJVekFVd2NjTUVUWS0xTVBMSWZzM09LUlFmcXk4QVJXR3VZV0h3bVRxWW50UG9nY2FMOVYteVhISV96Z3BPdTRCcXVTNE8xME1HeFo1SDlBQ3hTQ1kzNmt6d0hVWTlDTVR5RzFuUkFjUkhhcGhmaHV4cWwxNzlzb2R3NmtxeHZFdG0zZEY4bjJ3ckw4aDQ0bU5EVXczYXFLeVZhRVowcmxvNUZ6UHdncklKSlZiVlhjQUl5NDRaMEFVaS1TdlRDN1ZFRjRMT2doeE1QS2h0Wm5LVmUzWVk2Njh3ejJzMjNZaXNWYkVkUkNsbzhGNmxJRWk4X2c?oc=5,"6-Week Box Office Tracking & Forecasts: AVATAR: FIRE AND ASH ($95M+) Updates, Early Forecasts for 28 YEARS LATER: THE BONE TEMPLE, GREENLAND 2, PRIMATE, and SOULM8TE – Box Office Theory&nbsp;&nbsp;Box Office Theory"
Avatar_Fire_and_Ash,Why ‘Avatar: Fire and Ash’ Received Box Office Achievement Golden Globes 2026 Nomination Before Debut - Us Weekly,Us Weekly,12/8/25 20:54,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMixAFBVV95cUxNLWhnZXR0dDY0Y2lJS1FFcjU0dktKcTlNSnJFQUs1WGstbU9OSDlYNGxJU3MwTURVc0dVblpSSUtPNjZOanVUbEg5SXhWVi0zSVBoZ2djbkhjaHo4a2dFU2d4LU5SQklRTkpGWWVTcHBUUXVpQ3hvNUdDbmNBOFlfVjhsUHJoU20xRjJudDNDaEE0TGpHX0JxQmJxakZyd0hqRVl5ZHVaeDZSTGdrdHpIVlRUSnQyYl9ycE80NkhscEo0THFo?oc=5,Why ‘Avatar: Fire and Ash’ Received Box Office Achievement Golden Globes 2026 Nomination Before Debut&nbsp;&nbsp;Us Weekly
Avatar_Fire_and_Ash,"Massive Budget for AVATAR: FIRE AND ASH Revealed, Though Some Wonder If the Fans and Nominations Will Continue Waning - GeekTyrant",GeekTyrant,12/9/25 13:30,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPeUxNbWR4eEdNV0V0bFR2ZEdWMGtvRmJLLVVzTFBQYlFnM3pxdUE2WnNWVDBzdjdkNUpBdnhXcEUxbG1SbG4wVHQ1TTRjUXd2OTZUSjliM3NDZ1N2OXgyNURhdGpBeW1nNW9uTEVXNGdnV0VIMUFzSWZlSTE3U0lSUmlwN1FaY3ZWc1Z4dXIzVjhsV2hyV0N0X0F6RTFQWUZ6ejFocVFqaGQ3bE9BU1Z1SXZ0UDh1dFVEWFR0S1Y4ZEg0MnJ1QTdtTjA1VEdVSXJkTHFsUGF0MnhSdEU?oc=5,"Massive Budget for AVATAR: FIRE AND ASH Revealed, Though Some Wonder If the Fans and Nominations Will Continue Waning&nbsp;&nbsp;GeekTyrant"
Avatar_Fire_and_Ash,‘Avatar: Fire and Ash’ Budget is $400M+ - World of Reel,World of Reel,12/6/25 22:23,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMigwFBVV95cUxObHQtUzlTaDNxX1dlQ2xySnFYcXZPOFRlS2N0YnRvZ3ZhYVJoY1cydG1EUjA5VVRvdVNMcmI0WmZTUVN0Y0hoNDNaSElHMlVIZkNPR0UzSEdZVklNUlpiNnJ1a1NJVTkxLXFtcUR3dFFXQmF2M09XYmhJc0VNVHpTTEJiTQ?oc=5,‘Avatar: Fire and Ash’ Budget is $400M+&nbsp;&nbsp;World of Reel
Avatar_Fire_and_Ash,‘Avatar: Fire and Ash’ Could Burn Out at the Oscars With Franchise Fatigue Among Voters - Variety,Variety,12/4/25 16:15,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNVXdvcDBCNWhuaDlZeXRGeXVvQW8tTkdtb2ZyeTEtQ0tzMnR5YkhoR3FNMGtKT29KVmhlaVZ3blpHTFlYMWVPTFRUNUFQaGN6amtjWFJtSmxhWFVaMDd5WkpFc2FZUkt0RXZkVFA2MU11Wm1xVWI0UXZmZ01XWTBTV3lxX2IzTWl3OVk0?oc=5,‘Avatar: Fire and Ash’ Could Burn Out at the Oscars With Franchise Fatigue Among Voters&nbsp;&nbsp;Variety
Avatar_Fire_and_Ash,How Did Avatar: Fire And Ash Get Nominated For Golden Globes Before Releasing In Theatres? - MensXP,MensXP,12/9/25 13:17,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMiywFBVV95cUxOMVFqbURDTzN3UFRXVzJxV1pYTXUxVWd5azlra3ItZEJBUkxyWmZxcUlad1pKZU9aZnZveEdZS3VIbEJPYzhhZXY4YlpkVzh5eVE2R0p4NHhwdldfOHprRmVBb0Q3NUF5Uk9yUlNnbTZ2OE1KZHFRZVRDYXdpOVZHMGxVLTBNWlRkSHR1ZWdPZWJfemFqOUhUUWlKVWJNVG9HRVR0MGRGZk5acmJZUlVQU0R4ZjZ5dzhnV1RwU1pRemR0aFJ2QjlkS1VsRdIB0AFBVV95cUxPUXpVRlYxc3lFcUZpVjhnejcwOTJFZDhSdmk4NjJmaDc2dkwxLXNHVUFaTjI2S3B4cGdsT08yLVZBWHlxVUkwc2UxLS1YZjdmZjFKT3VEcVphYWMyQW5XZE9zOTRvV3FZTVkzMnVUbGg2UVl6NGhVWjFhYW1oS2pZY3JyQWhnZUVRTWdmSXRVSmNyWk5YRDdldU8yS0hMaTdWN2tPcUlQN0licnU3czc5UWV5bkw1RUtTX3dQYWxfU2tKdjVmVEVRZGN3cUFIVUtG?oc=5,How Did Avatar: Fire And Ash Get Nominated For Golden Globes Before Releasing In Theatres?&nbsp;&nbsp;MensXP
Avatar_Fire_and_Ash,"Sigourney Weaver 'In Denial' About Avatar Potentially Coming to an End With Fire and Ash Following James Cameron Comments, Says if Fans Go to See It More Than Once Avatar 4 Will Happen - IGN",IGN,12/5/25 14:28,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet",Sci-Fi/Fantasy,20th Century Studios,https://news.google.com/rss/articles/CBMitAJBVV95cUxQT3RxcGVMMGFhUFBPZWtGeFpHXzlkUDBrUkJqM1NoUlhuU1I0Zi1MVjNnTFZUYmNMbzluZjNoYXlSVi1ZWUZ4X3lrMW5fd3c2MkcwbDlTUDlUQl9OXzFxWk5hdjlwcGRYMGRZODdiNDFxYjFSa1B6ckdaUFBlVWJpUEVHRk5XdXlOdFQ5a1hKMVNsbWRMSjNpZTZTd0U0YldBRjRaUXVJTjVkMVM2aTR6cjBhN3k4TGx3enFrRTlDSldJcE9ldWpEUGJjNHVubWhzVzZ4aEFGVmQ4X2hIU0xoMEtwV0hTb3RkdFdOU1lDdEJKMXpnX2FoX3pnUGllNVFNY0xSV2xaa0VwbElCYnJDaVE5aWE0QXE2M195Qk9GajZjbFFZQU56NTN2Vk9XMzRuallWVw?oc=5,"Sigourney Weaver 'In Denial' About Avatar Potentially Coming to an End With Fire and Ash Following James Cameron Comments, Says if Fans Go to See It More Than Once Avatar 4 Will Happen&nbsp;&nbsp;IGN"
